iter	RMSE
0	0.3893570641
1	0.3780533437
2	0.367223169
3	0.3565145057
4	0.3468863021
5	0.337623342
6	0.3283852135
7	0.3190263648
8	0.3111129397
9	0.3026241672
10	0.295311292
11	0.2882167755
12	0.2809180815
13	0.2741302471
14	0.2680854702
15	0.2618120695
16	0.2558802353
17	0.2506324272
18	0.244636999
19	0.2391880053
20	0.2344321456
21	0.2294170518
22	0.2246615966
23	0.2201753347
24	0.216323393
25	0.211634889
26	0.2074527753
27	0.2033703857
28	0.199600451
29	0.1958637626
30	0.1923258824
31	0.1888799971
32	0.1858312862
33	0.1828588601
34	0.1799390096
35	0.1772356824
36	0.1742391289
37	0.1717958991
38	0.1694940771
39	0.1668730673
40	0.1650323976
41	0.1629448514
42	0.1609432084
43	0.158815309
44	0.1570873308
45	0.1549968392
46	0.1533836012
47	0.1515488467
48	0.1498449327
49	0.1482359096
50	0.1468992008
51	0.145569136
52	0.1441462781
53	0.143057365
54	0.1417101807
55	0.1403882917
56	0.1391369233
57	0.1379173471
58	0.1368630248
59	0.1357752086
60	0.1348608148
61	0.1339778321
62	0.1331158731
63	0.1322128661
64	0.1312879184
65	0.1304650712
66	0.1296613931
67	0.1289452062
68	0.1282684729
69	0.127627828
70	0.1268456327
71	0.12626668
72	0.1254933278
73	0.1247419446
74	0.1241658731
75	0.123590475
76	0.1230407926
77	0.1224092024
78	0.1218701787
79	0.121328671
80	0.1208367451
81	0.1203518114
82	0.1197633434
83	0.1193208791
84	0.1188433339
85	0.1184573632
86	0.1180285793
87	0.1175727551
88	0.1171940963
89	0.1167359101
90	0.1163337705
91	0.1158552574
92	0.1154585254
93	0.1151210846
94	0.1148548687
95	0.1145355142
96	0.114208734
97	0.1138847119
98	0.1135904616
99	0.113178938
100	0.1127937729
101	0.1125135064
102	0.1121822376
103	0.1119650525
104	0.1117016003
105	0.1114243547
106	0.1111214223
107	0.1107849993
108	0.110495145
109	0.1102026297
110	0.1099259758
111	0.1095824985
112	0.1092593576
113	0.1090401823
114	0.108772941
115	0.1085344337
116	0.108381066
117	0.1081985214
118	0.1080429468
119	0.1079171091
120	0.1076643147
121	0.107463378
122	0.1072333724
123	0.1069819034
124	0.1067342248
125	0.1065372701
126	0.1062844387
127	0.1059999497
128	0.1058205852
129	0.1055680998
130	0.1054655866
131	0.1052676583
132	0.10508601
133	0.1048751936
134	0.1046998617
135	0.1045524969
136	0.1044007579
137	0.1041604234
138	0.1039901136
139	0.1038461713
140	0.1036788706
141	0.1034668373
142	0.1032836597
143	0.1031183478
144	0.1029128108
145	0.1027628264
146	0.1026693519
147	0.1023952444
148	0.1022436978
149	0.1021486693
150	0.1019884208
151	0.1018184527
152	0.1017640209
153	0.1015546359
154	0.1014365017
155	0.1012631733
156	0.1011850002
157	0.1010813778
158	0.1008385953
159	0.1006763511
160	0.1004336373
161	0.1003513742
162	0.1002480132
163	0.1001295787
164	0.100041879
165	0.09993223975
166	0.09977724754
167	0.09970464646
168	0.09958626014
169	0.09950386458
170	0.0994048435
171	0.09931090837
172	0.09910411644
173	0.09899917301
174	0.0988711636
175	0.09875604032
176	0.09861814579
177	0.09850389678
178	0.09841190602
179	0.09833320584
180	0.09820316689
181	0.09799128836
182	0.09781255553
183	0.09764652939
184	0.09744680918
185	0.09733695725
186	0.09716762418
187	0.09710916288
188	0.09706610065
189	0.09695183524
190	0.09680462749
191	0.09670251939
192	0.09655248158
193	0.09646754796
194	0.09633405631
195	0.09614927105
196	0.09606887897
197	0.09585551092
198	0.09566178332
199	0.09545590465
200	0.09537858923
201	0.09531239767
202	0.09522501039
203	0.09509385561
204	0.09487688593
205	0.09468186719
206	0.09454190593
207	0.0943758944
208	0.09416047396
209	0.09405238872
210	0.09397056065
211	0.09375303902
212	0.09359732841
213	0.09352990161
214	0.09346039842
215	0.09323241922
216	0.09304400043
217	0.09286831999
218	0.09274407197
219	0.09263390569
220	0.09251187573
221	0.09244055847
222	0.09240498114
223	0.09230113928
224	0.09226554172
225	0.09215868071
226	0.09209220868
227	0.09196004588
228	0.09188224845
229	0.09169670967
230	0.09151794712
231	0.09147000226
232	0.09127674386
233	0.09112554572
234	0.09091216792
235	0.09075070666
236	0.09058361673
237	0.0904740091
238	0.09036529569
239	0.09016618815
240	0.0900440964
241	0.08995729163
242	0.08976645872
243	0.08966017326
244	0.08951101104
245	0.08942779793
246	0.08931958854
247	0.08921534462
248	0.08918336868
249	0.08908529822
250	0.08897390219
251	0.08879528731
252	0.08870847035
253	0.08853579015
254	0.08840666941
255	0.08821589965
256	0.08812693199
257	0.08802168719
258	0.08785500745
259	0.08763728857
260	0.08749583376
261	0.08737334438
262	0.08721374346
263	0.08709139316
264	0.08693497035
265	0.08687453835
266	0.08671811324
267	0.08664425245
268	0.08653362967
269	0.08639620811
270	0.08630214107
271	0.08615254245
272	0.08604056452
273	0.08597136275
274	0.08584752846
275	0.08575103437
276	0.08566924813
277	0.08560540435
278	0.08544249375
279	0.08534156216
280	0.08521720134
281	0.08506131903
282	0.08494830291
283	0.08475480494
284	0.08461999398
285	0.08443780795
286	0.08438125123
287	0.08433507235
288	0.08428200311
289	0.08413393481
290	0.08402859835
291	0.08394323198
292	0.08377548229
293	0.08375491025
294	0.08369178186
295	0.08353181218
296	0.08338042259
297	0.08324570894
298	0.08321978185
299	0.08310828557
300	0.082958456
301	0.08285423997
302	0.08272677885
303	0.08260769092
304	0.08246158781
305	0.08240852662
306	0.08227439591
307	0.08224864228
308	0.08213735742
309	0.0820202649
310	0.08188202774
311	0.08173303537
312	0.08157449958
313	0.08142719052
314	0.08132580294
315	0.08123063351
316	0.08110038905
317	0.08099401767
318	0.08096252098
319	0.08086073516
320	0.0808315636
321	0.08073518746
322	0.08071884563
323	0.08061743209
324	0.08048948568
325	0.08039778503
326	0.08031604704
327	0.0801872027
328	0.08008681829
329	0.07994462689
330	0.07983591972
331	0.07974474645
332	0.07973372912
333	0.07963798404
334	0.07951060163
335	0.07940102937
336	0.07939032306
337	0.07925293053
338	0.07923828016
339	0.07911711249
340	0.07902579963
341	0.07892021581
342	0.0788500543
343	0.07871903741
344	0.07862435342
345	0.07847464035
346	0.07836471692
347	0.07829334052
348	0.07823473164
349	0.07822473711
350	0.07820427142
351	0.07813263092
352	0.07803226707
353	0.07792438074
354	0.07783389346
355	0.07778733604
356	0.07770208003
357	0.07755417128
358	0.07746075534
359	0.07737004391
360	0.07727776498
361	0.07726872012
362	0.07716031535
363	0.07706985465
364	0.07706040632
365	0.07691417985
366	0.07677518387
367	0.07676474186
368	0.07675777497
369	0.07668233005
370	0.0765861821
371	0.07644089675
372	0.07634391886
373	0.07629830379
374	0.076148727
375	0.07606653124
376	0.07594059258
377	0.07586301443
378	0.07576508637
379	0.07571633737
380	0.07561587044
381	0.07554000859
382	0.07550810818
383	0.0754232027
384	0.07531562551
385	0.07522133804
386	0.07519401085
387	0.07511720516
388	0.07503526537
389	0.07489558336
390	0.07481575286
391	0.0746409117
392	0.07461188837
393	0.07445520182
394	0.07443802225
395	0.07432781849
396	0.07419922827
397	0.07413994381
398	0.07400678721
399	0.07384833333
400	0.0736699826
401	0.07366363805
402	0.07353625872
403	0.07338876271
404	0.07328059134
405	0.07316363529
406	0.0730445296
407	0.07296007562
408	0.07284170246
409	0.07275109223
410	0.07262411056
411	0.07248151027
412	0.07231567402
413	0.07223054171
414	0.07211458036
415	0.07202419349
416	0.07193964086
417	0.07188410983
418	0.07174323372
419	0.07158331105
420	0.07154482069
421	0.07149476336
422	0.07140742584
423	0.07130142613
424	0.07121186194
425	0.07116895636
426	0.07106671014
427	0.07095117605
428	0.0708821186
429	0.07080892488
430	0.0707822756
431	0.07077534738
432	0.0707319965
433	0.07065295074
434	0.07064726133
435	0.07063985053
436	0.07058871101
437	0.0705133725
438	0.07042637698
439	0.0704198886
440	0.07034730051
441	0.0703361481
442	0.07021179864
443	0.07004846919
444	0.07003014333
445	0.0699532807
446	0.069874564
447	0.06980796088
448	0.0696892559
449	0.06960796788
450	0.06948981202
451	0.06934090434
452	0.069288517
453	0.06928047172
454	0.06918717955
455	0.06907806373
456	0.06896723035
457	0.06891093579
458	0.0687686312
459	0.06869764687
460	0.06864101904
461	0.06856501159
462	0.06853293725
463	0.06846039496
464	0.06836463635
465	0.06835880592
466	0.068264852
467	0.06812376843
468	0.06806398513
469	0.06802103031
470	0.06791116362
471	0.06790587119
472	0.06781442626
473	0.06775886603
474	0.06769721928
475	0.0676366327
476	0.06759698832
477	0.06759082708
478	0.06750155722
479	0.06741872239
480	0.06735400883
481	0.06723931992
482	0.06721473183
483	0.06718893777
484	0.06706588904
485	0.06706032462
486	0.06697835209
487	0.06689045381
488	0.06671366237
489	0.06661844557
490	0.066530686
491	0.06643396037
492	0.06637871495
493	0.06629548521
494	0.06620951299
495	0.066143029
496	0.06597107496
497	0.06584474645
498	0.06577194854
499	0.06566026809
500	0.06563723294
501	0.06558442307
502	0.06547772818
503	0.06538710415
504	0.06538236582
505	0.06532835015
506	0.06532333081
507	0.06519009806
508	0.06512600706
509	0.06506281508
510	0.06503063381
511	0.06494469883
512	0.06488047859
513	0.06474638597
514	0.06462240325
515	0.06459540651
516	0.06449960356
517	0.06449484742
518	0.06437860183
519	0.06426121802
520	0.0642418988
521	0.06416276614
522	0.06410795585
523	0.06404083236
524	0.06396037324
525	0.06384756784
526	0.06376858459
527	0.06376466973
528	0.0636287182
529	0.06359190613
530	0.06350456287
531	0.06344201101
532	0.06337084659
533	0.06324244042
534	0.06321215602
535	0.06311998799
536	0.06304207888
537	0.06296188686
538	0.06285763792
539	0.06285340591
540	0.06276084251
541	0.06270563304
542	0.06256613119
543	0.06250422892
544	0.06237874551
545	0.0622932747
546	0.06223560902
547	0.06212235927
548	0.06208773189
549	0.06201097569
550	0.06200700385
551	0.06191086687
552	0.06178711313
553	0.06168850024
554	0.06163947332
555	0.06157348719
556	0.06147258714
557	0.06133232573
558	0.06125044597
559	0.06118809582
560	0.06109439615
561	0.06099127538
562	0.06088728032
563	0.06080683016
564	0.06067307954
565	0.06060812358
566	0.06049653438
567	0.06043137554
568	0.06039429986
569	0.06026496444
570	0.06021968185
571	0.06013697476
572	0.06007273606
573	0.06000305312
574	0.05995915354
575	0.05992147677
576	0.059811593
577	0.05978311992
